26/09/2022,symoss,1,Deposit
26/09/2022,symoss,185354305,Deposit
27/09/2022,zarathos75,-2000000,Withdrawal
27/09/2022,symoss,-3000,Withdrawal
28/09/2022,symoss,-1000000,Withdrawal
28/09/2022,zarathos75,-2000000,Withdrawal
28/09/2022,symoss,-300000,Withdrawal
30/09/2022,symoss,-400000,Withdrawal
30/09/2022,symoss,-150000,Withdrawal
30/09/2022,symoss,-50000,Withdrawal
02/10/2022,symoss,-2000000,Withdrawal
02/10/2022,zarathos75,-2000000,Withdrawal
02/10/2022,symoss,1000000,Deposit
04/10/2022,symoss,-300000,Withdrawal
05/10/2022,symoss,-300000,Withdrawal
06/10/2022,zarathos75,-2000000,Withdrawal
06/10/2022,symoss,-2000000,Withdrawal
06/10/2022,symoss,-10000000,Withdrawal
07/10/2022,symoss,-350000,Withdrawal
07/10/2022,symoss,-2000000,Withdrawal
13/10/2022,zarathos75,-2000000,Withdrawal
14/10/2022,symoss,-350000,Withdrawal
15/10/2022,symoss,-350000,Withdrawal
16/10/2022,zarathos75,-2000000,Withdrawal
16/10/2022,symoss,-1200000,Withdrawal
18/10/2022,symoss,-10000000,Withdrawal
19/10/2022,zarathos75,-2000000,Withdrawal
21/10/2022,symoss,-350000,Withdrawal
21/10/2022,symoss,-1000000,Withdrawal
22/10/2022,symoss,-350000,Withdrawal
23/10/2022,symoss,-230000,Withdrawal
24/10/2022,zarathos75,-80000000,Withdrawal
24/10/2022,zarathos75,12392725,Deposit
24/10/2022,symoss,-1000000,Withdrawal
24/10/2022,zarathos75,2988600,Deposit
25/10/2022,zarathos75,89862,Deposit
25/10/2022,zarathos75,-352500,Withdrawal
25/10/2022,symoss,-600000,Withdrawal
25/10/2022,symoss,690914,Deposit
25/10/2022,symoss,-1000000,Withdrawal
26/10/2022,zarathos75,-3000000,Withdrawal
26/10/2022,zarathos75,-2000000,Withdrawal
26/10/2022,symoss,-1500000,Withdrawal
26/10/2022,symoss,-5000000,Withdrawal
26/10/2022,symoss,-750000,Withdrawal
28/10/2022,symoss,-700000,Withdrawal
28/10/2022,symoss,96429637,Deposit
28/10/2022,symoss,-800000,Withdrawal
28/10/2022,zarathos75,52642857,Deposit
29/10/2022,symoss,-352500,Withdrawal
29/10/2022,symoss,-750000,Withdrawal
30/10/2022,symoss,760975,Deposit
30/10/2022,symoss,-352500,Withdrawal
31/10/2022,zarathos75,-1000000,Withdrawal
31/10/2022,symoss,-20000000,Withdrawal
31/10/2022,symoss,450000,Deposit
01/11/2022,symoss,-400000,Withdrawal
01/11/2022,symoss,-750000,Withdrawal
03/11/2022,zarathos75,-100000000,Withdrawal
03/11/2022,symoss,99442460,Deposit
03/11/2022,symoss,-500000,Withdrawal
03/11/2022,symoss,-750000,Withdrawal
05/11/2022,zarathos75,-2000000,Withdrawal
05/11/2022,symoss,-500000,Withdrawal
07/11/2022,symoss,-200000,Withdrawal
08/11/2022,zarathos75,-2000000,Withdrawal
09/11/2022,symoss,-350000,Withdrawal
09/11/2022,symoss,-750000,Withdrawal
10/11/2022,symoss,-50000,Withdrawal
11/11/2022,symoss,-330000,Withdrawal
12/11/2022,symoss,-1050000,Withdrawal
12/11/2022,symoss,-75000,Withdrawal
12/11/2022,symoss,526550,Deposit
13/11/2022,symoss,-350000,Withdrawal
14/11/2022,symoss,-1000000,Withdrawal
14/11/2022,symoss,-100000,Withdrawal
14/11/2022,symoss,-10000000,Withdrawal
14/11/2022,symoss,5775234,Deposit
14/11/2022,symoss,-16000000,Withdrawal
14/11/2022,symoss,-1200000,Withdrawal
16/11/2022,symoss,-350000,Withdrawal
16/11/2022,symoss,-700000,Withdrawal
20/11/2022,symoss,-1100000,Withdrawal
21/11/2022,symoss,-200000,Withdrawal
22/11/2022,symoss,-1050000,Withdrawal
25/11/2022,symoss,-1000000,Withdrawal
29/11/2022,zarathos75,-3000000,Withdrawal
29/11/2022,symoss,-1000000,Withdrawal
02/12/2022,symoss,-500000,Withdrawal
04/12/2022,symoss,-10000000,Withdrawal
05/12/2022,symoss,-500000,Withdrawal
06/12/2022,symoss,-20000000,Withdrawal
07/12/2022,zarathos75,40000000,Deposit
09/12/2022,symoss,86455,Deposit
09/12/2022,symoss,-1000000,Withdrawal
10/12/2022,zarathos75,2608832,Deposit
10/12/2022,zarathos75,-1000000,Withdrawal
11/12/2022,symoss,-200000,Withdrawal
11/12/2022,symoss,-1000000,Withdrawal
12/12/2022,zarathos75,-4000000,Withdrawal
14/12/2022,symoss,-750000,Withdrawal
14/12/2022,symoss,-15000000,Withdrawal
15/12/2022,zarathos75,3203752,Deposit
15/12/2022,zarathos75,-5000000,Withdrawal
15/12/2022,symoss,-750000,Withdrawal
17/12/2022,zarathos75,3915202,Deposit
17/12/2022,zarathos75,-6000000,Withdrawal
17/12/2022,zarathos75,3000000,Deposit
17/12/2022,zarathos75,3000000,Deposit
17/12/2022,zarathos75,-8000000,Withdrawal
17/12/2022,zarathos75,4000000,Deposit
